[0621/105659.028:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0621/122015.984:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122020.988:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122025.281:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122025.295:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122025.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122030.289:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122030.308:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122031.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122049.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122049.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122054.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122054.839:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/122114.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132004.020:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132009.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132013.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132014.054:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132018.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132019.058:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132045.183:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132050.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132104.755:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/132104.760:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0621/151349.336:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
